handle,datetime,screenshot,accessibility,hyperlinks,lighthouse,wayback
Harpers,2022-08-30 23:58:31.614762+00:00,https://archive.org/download/harpers-2022/harpers-2022-08-30T19:58:31.614762-04:00.jpg,https://archive.org/download/harpers-2022/harpers-2022-08-30T19:58:31.614762-04:00.accessibility.json,https://archive.org/download/harpers-2022/harpers-2022-08-30T19:58:31.614762-04:00.hyperlinks.json,https://archive.org/download/harpers-2022/harpers-2022-08-30T19:58:31.614762-04:00.lighthouse.json,https://archive.org/download/harpers-2022/harpers-2022-08-30T19:58:31.614762-04:00.wayback.json
Quillette,2022-08-31 01:23:17.474116+00:00,https://archive.org/download/quillette-2022/quillette-2022-08-31T02:23:17.474116+01:00.jpg,https://archive.org/download/quillette-2022/quillette-2022-08-31T02:23:17.474116+01:00.accessibility.json,https://archive.org/download/quillette-2022/quillette-2022-08-31T02:23:17.474116+01:00.hyperlinks.json,https://archive.org/download/quillette-2022/quillette-2022-08-31T02:23:17.474116+01:00.lighthouse.json,https://archive.org/download/quillette-2022/quillette-2022-08-31T02:23:17.474116+01:00.wayback.json
SputnikInt,2022-08-30 22:05:05.149392+00:00,https://archive.org/download/sputnikint-2022/sputnikint-2022-08-31T01:05:05.149392+03:00.jpg,https://archive.org/download/sputnikint-2022/sputnikint-2022-08-31T01:05:05.149392+03:00.accessibility.json,https://archive.org/download/sputnikint-2022/sputnikint-2022-08-31T01:05:05.149392+03:00.hyperlinks.json,https://archive.org/download/sputnikint-2022/sputnikint-2022-08-31T01:05:05.149392+03:00.lighthouse.json,https://archive.org/download/sputnikint-2022/sputnikint-2022-08-31T01:05:05.149392+03:00.wayback.json
cnn,2022-08-30 20:29:21.596399+00:00,https://archive.org/download/cnn-2022/cnn-2022-08-30T16:29:21.596399-04:00.jpg,,,,
latimes,2022-08-30 20:34:48.597255+00:00,https://archive.org/download/latimes-2022/latimes-2022-08-30T13:34:48.597255-07:00.jpg,,,,
verge,2022-08-30 20:43:39.294282+00:00,https://archive.org/download/verge-2022/verge-2022-08-30T16:43:39.294282-04:00.jpg,https://archive.org/download/verge-2022/verge-2022-08-30T16:43:39.294282-04:00.accessibility.json,https://archive.org/download/verge-2022/verge-2022-08-30T16:43:39.294282-04:00.hyperlinks.json,https://archive.org/download/verge-2022/verge-2022-08-30T16:43:39.294282-04:00.lighthouse.json,https://archive.org/download/verge-2022/verge-2022-08-30T16:43:39.294282-04:00.wayback.json
