handle,performance_count,performance_median,performance_mean,performance_min,performance_max,performance_std,accessibility_count,accessibility_median,accessibility_mean,accessibility_min,accessibility_max,accessibility_std,seo_count,seo_median,seo_mean,seo_min,seo_max,seo_std,best_practices_count,best_practices_median,best_practices_mean,best_practices_min,best_practices_max,best_practices_std,performance_color,accessibility_color,seo_color,best_practices_color,performance_rank,accessibility_rank,seo_rank,best_practices_rank
mailandguardian,13,0.27,0.28076923076923077,0.19,0.39,0.0560448538317805,13,0.93,0.9299999999999999,0.93,0.93,0.0,13,0.84,0.8346153846153845,0.77,0.84,0.019414506867883003,13,0.92,0.92,0.92,0.92,0.0,red,green,orange,green,651.0,189.0,781.0,126.0
mainemonitor,13,0.37,0.3646153846153846,0.27,0.45,0.051899804851172064,13,0.77,0.77,0.77,0.77,0.0,13,0.85,0.8499999999999999,0.85,0.85,0.0,13,0.8300000000000001,0.8238461538461539,0.75,0.8300000000000001,0.02218800784900918,red,orange,orange,orange,507.0,906.0,724.0,298.0
maroelamedia,13,0.37,0.3553846153846154,0.22,0.54,0.07611563402869183,13,0.85,0.8499999999999999,0.85,0.85,0.0,13,0.91,0.91,0.91,0.91,0.0,13,0.8300000000000001,0.8176923076923077,0.75,0.8300000000000001,0.03004270464795245,red,orange,green,orange,507.0,669.0,487.0,298.0
marylandmatters,14,0.77,0.8192857142857143,0.72,0.97,0.09008237987994745,14,0.98,0.9799999999999999,0.98,0.98,0.0,14,0.93,0.9285714285714286,0.91,0.93,0.005345224838248477,14,0.92,0.9314285714285715,0.92,1.0,0.029050921568102496,orange,green,green,green,254.0,27.0,149.0,126.0
mashable,14,0.71,0.6935714285714285,0.58,0.87,0.06789212516441548,14,0.89,0.89,0.89,0.89,0.0,14,0.98,0.9799999999999999,0.98,0.98,0.0,14,0.92,0.92,0.92,0.92,0.0,orange,orange,green,green,270.0,291.0,68.0,126.0
mcall,13,0.15,0.14076923076923079,0.11,0.16,0.016563785025137653,13,0.85,0.8546153846153846,0.85,0.87,0.008770580193070296,13,0.92,0.92,0.92,0.92,0.0,6,0.67,0.67,0.67,0.67,0.0,red,orange,green,orange,958.0,669.0,233.0,979.0
mcgilldaily,13,0.13,0.13076923076923078,0.1,0.18,0.029000442083279367,13,0.98,0.98,0.98,0.98,0.0,13,0.92,0.92,0.92,0.92,0.0,13,1.0,1.0,1.0,1.0,0.0,red,green,green,green,994.0,27.0,233.0,1.0
mdjonline,13,0.21,0.2107692307692308,0.13,0.28,0.04462091035630762,13,0.84,0.8307692307692307,0.78,0.84,0.022532028485964254,13,0.92,0.9092307692307693,0.85,0.92,0.026287366566958396,13,0.5,0.5,0.5,0.5,0.0,red,orange,green,orange,786.0,699.0,233.0,1093.0
media_outlier,14,0.635,0.6335714285714287,0.5,0.74,0.0593045779601623,14,0.91,0.915,0.91,0.98,0.018708286933869698,14,0.98,0.975,0.91,0.98,0.018708286933869698,14,1.0,0.9771428571428571,0.92,1.0,0.03750457847507962,orange,green,green,green,298.0,244.0,68.0,1.0
meduzaproject,13,0.31,0.3161538461538462,0.25,0.36,0.0322847904175897,13,0.98,0.9484615384615385,0.81,0.98,0.05273299944787162,13,0.98,0.9776923076923076,0.91,0.99,0.020878156908535665,13,1.0,0.9938461538461538,0.92,1.0,0.02218800784900918,red,green,green,green,584.0,27.0,68.0,1.0
memphisnews,14,0.8300000000000001,0.7428571428571429,0.46,0.85,0.15997252511356067,14,0.87,0.8714285714285713,0.86,0.88,0.006629935441317961,14,0.93,0.93,0.93,0.93,0.0,14,0.8300000000000001,0.8300000000000001,0.83,0.8300000000000001,4.3546529746182126e-17,orange,orange,green,orange,168.0,413.0,149.0,298.0
mercnews,13,0.15,0.12846153846153846,0.01,0.15,0.05257473313391675,13,0.79,0.7892307692307692,0.77,0.8,0.011875421719907105,13,0.84,0.84,0.84,0.84,0.0,13,0.75,0.7438461538461538,0.67,0.75,0.022188007849009168,red,orange,orange,orange,958.0,851.0,781.0,786.0
metrowestdaily,13,0.84,0.7692307692307693,0.35,0.88,0.177033967478068,13,0.87,0.8730769230769231,0.86,0.88,0.006304251719561155,13,0.92,0.92,0.92,0.92,0.0,13,0.8300000000000001,0.8238461538461539,0.75,0.8300000000000001,0.022188007849009185,orange,orange,green,orange,99.0,413.0,233.0,298.0
michigandaily,13,0.39,0.39,0.25,0.53,0.07211102550927978,13,0.74,0.7238461538461538,0.68,0.81,0.04073050894568294,13,0.9,0.9000000000000001,0.9,0.9,0.0,13,0.92,0.92,0.92,0.92,0.0,red,orange,green,green,486.0,969.0,588.0,126.0
milforddaily,14,0.85,0.8435714285714286,0.78,0.88,0.028718030481306934,14,0.87,0.86,0.78,0.89,0.033512339862756854,14,0.92,0.91,0.85,0.92,0.025419556372089723,14,0.8300000000000001,0.8242857142857144,0.75,0.8300000000000001,0.021380899352993966,orange,orange,green,orange,58.0,413.0,233.0,298.0
miwisconsin,13,0.08,0.07307692307692308,0.04,0.09,0.013774744634423892,13,0.8,0.7953846153846154,0.78,0.8,0.008770580193070294,13,0.67,0.6892307692307693,0.67,0.75,0.03475186768638924,13,0.75,0.75,0.75,0.75,0.0,red,orange,orange,orange,1055.0,814.0,1096.0,786.0
mlnow,14,0.485,0.47285714285714286,0.31,0.65,0.0921894847523355,14,0.95,0.95,0.95,0.95,0.0,14,0.98,0.9799999999999999,0.98,0.98,0.0,14,1.0,1.0,1.0,1.0,0.0,red,green,green,green,391.0,139.0,68.0,1.0
mmfa,20,0.655,0.662,0.47,0.84,0.11949895397031729,20,0.81,0.8100000000000002,0.81,0.81,0.0,20,0.77,0.77,0.77,0.77,0.0,20,0.92,0.9200000000000002,0.92,0.92,0.0,orange,orange,orange,green,289.0,774.0,989.0,126.0
mnherald,14,0.86,0.8521428571428571,0.76,0.9,0.03846648319862798,14,0.87,0.8671428571428572,0.86,0.87,0.004688072309384949,14,0.93,0.93,0.93,0.93,0.0,14,0.8300000000000001,0.8300000000000001,0.83,0.8300000000000001,4.3546529746182126e-17,orange,orange,green,orange,25.0,413.0,149.0,298.0
mongabay,14,0.605,0.6,0.52,0.66,0.05023023913019846,14,0.73,0.7299999999999999,0.73,0.73,0.0,14,0.84,0.84,0.84,0.84,0.0,14,0.75,0.7385714285714285,0.67,0.75,0.029050921568102475,orange,orange,orange,orange,312.0,979.0,781.0,786.0
morningbrew,12,0.345,0.35000000000000003,0.32,0.39,0.020889318714683747,12,0.78,0.7799999999999999,0.78,0.78,0.0,12,0.8200000000000001,0.82,0.82,0.8200000000000001,3.347448369359225e-17,12,0.8300000000000001,0.8300000000000001,0.83,0.8300000000000001,3.347448369359225e-17,red,orange,orange,orange,545.0,882.0,922.0,298.0
msnbc,34,0.38,0.31764705882352945,0.2,0.41,0.08814790681539654,34,0.72,0.7264705882352941,0.72,0.74,0.009497161598676342,34,0.77,0.77,0.77,0.77,0.0,34,0.75,0.7570588235294117,0.75,0.8300000000000001,0.023032179302498932,red,orange,orange,orange,493.0,992.0,989.0,786.0
mtfreepress,14,0.65,0.62,0.5,0.7000000000000001,0.06214127824190987,14,0.88,0.88,0.88,0.88,0.0,14,0.98,0.9799999999999999,0.98,0.98,0.0,14,1.0,1.0,1.0,1.0,0.0,orange,orange,green,green,291.0,324.0,68.0,1.0
mtlgazette,14,0.22,0.2207142857142857,0.18,0.28,0.024640269015229057,14,1.0,0.9985714285714286,0.98,1.0,0.005345224838248494,14,0.97,0.9707142857142858,0.97,0.98,0.002672612419124231,14,0.8300000000000001,0.8364285714285715,0.83,0.92,0.02405351177211819,red,green,green,orange,758.0,1.0,116.0,298.0
mtnstspotlight,13,0.89,0.8846153846153846,0.74,0.98,0.05363695626080099,13,0.91,0.91,0.91,0.91,0.0,13,0.98,0.98,0.98,0.98,0.0,13,1.0,1.0,1.0,1.0,0.0,orange,green,green,green,17.0,244.0,68.0,1.0
