identifier,handle,file_name,url,title,date,publicdate,addeddate
iowapublicradio-2022,IowaPublicRadio,iowapublicradio-2022.json,https://archive.org/details/iowapublicradio-2022,Iowa Public Radio homepages in 2022,2022,2022-03-25 03:35:10,2022-03-25 03:35:10
journalsentinel-2022,journalsentinel,journalsentinel-2022.json,https://archive.org/details/journalsentinel-2022,Milwaukee Journal Sentinel homepages in 2022,2022,2022-03-23 23:06:34,2022-03-23 23:06:34
kcautv-2022,kcautv,kcautv-2022.json,https://archive.org/details/kcautv-2022,KCAU homepages in 2022,2022,2022-03-25 14:09:11,2022-03-25 14:09:11
kccinews-2022,KCCINews,kccinews-2022.json,https://archive.org/details/kccinews-2022,KCCI homepages in 2022,2022,2022-03-25 03:36:10,2022-03-25 03:36:10
kcrg-2022,KCRG,kcrg-2022.json,https://archive.org/details/kcrg-2022,KCRG homepages in 2022,2022,2022-03-25 03:35:21,2022-03-25 03:35:21
knockdotla-2022,KnockDotLA,knockdotla-2022.json,https://archive.org/details/knockdotla-2022,Knock.LA homepages in 2022,2022,2022-03-23 02:08:17,2022-03-23 02:08:17
kpbs-2022,kpbs,kpbs-2022.json,https://archive.org/details/kpbs-2022,KPBS homepages in 2022,2022,2022-03-24 02:06:19,2022-03-24 02:06:19
kpcc-2022,kpcc,kpcc-2022.json,https://archive.org/details/kpcc-2022,KPCC homepages in 2022,2022,2022-03-23 02:08:21,2022-03-23 02:08:21
ktla-2022,KTLA,ktla-2022.json,https://archive.org/details/ktla-2022,KTLA homepages in 2022,2022,2022-03-23 02:07:50,2022-03-23 02:07:50
kyivindependent-2022,kyivindependent,kyivindependent-2022.json,https://archive.org/details/kyivindependent-2022,Kyiv Independent homepages in 2022,2022,2022-03-23 02:08:42,2022-03-23 02:08:42
kyivpost-2022,KyivPost,kyivpost-2022.json,https://archive.org/details/kyivpost-2022,KyivPost homepages in 2022,2022,2022-03-23 02:09:01,2022-03-23 02:09:01
lacrossetribune-2022,LaCrosseTribune,lacrossetribune-2022.json,https://archive.org/details/lacrossetribune-2022,LaCrosse Tribune homepages in 2022,2022,2022-03-23 23:06:48,2022-03-23 23:06:48
laist-2022,laist,laist-2022.json,https://archive.org/details/laist-2022,LAist homepages in 2022,2022,2022-03-23 02:08:36,2022-03-23 02:08:36
