handle,datetime,screenshot_url,hyperlinks_url,accessibility_url,lighthouse_url,wayback_url
toacornnews,2022-10-18 19:54:33.970687+00:00,https://archive.org/download/toacornnews-2022/toacornnews-2022-10-18T12:54:33.970687-07:00.jpg,https://archive.org/download/toacornnews-2022/toacornnews-2022-10-18T12:54:33.970687-07:00.hyperlinks.json,https://archive.org/download/toacornnews-2022/toacornnews-2022-10-18T12:54:33.970687-07:00.accessibility.json,https://archive.org/download/toacornnews-2022/toacornnews-2022-10-18T12:54:33.970687-07:00.lighthouse.json,https://archive.org/download/toacornnews-2022/toacornnews-2022-10-18T12:54:33.970687-07:00.wayback.json
torontostar,2022-10-18 07:18:18.740480+00:00,https://archive.org/download/torontostar-2022/torontostar-2022-10-18T03:18:18.740480-04:00.jpg,https://archive.org/download/torontostar-2022/torontostar-2022-10-18T03:18:18.740480-04:00.hyperlinks.json,https://archive.org/download/torontostar-2022/torontostar-2022-10-18T03:18:18.740480-04:00.accessibility.json,https://archive.org/download/torontostar-2022/torontostar-2022-10-18T03:18:18.740480-04:00.lighthouse.json,https://archive.org/download/torontostar-2022/torontostar-2022-10-18T03:18:18.740480-04:00.wayback.json
torrentfreak,2022-10-18 07:17:29.977993+00:00,https://archive.org/download/torrentfreak-2022/torrentfreak-2022-10-18T00:17:29.977993-07:00.jpg,https://archive.org/download/torrentfreak-2022/torrentfreak-2022-10-18T00:17:29.977993-07:00.hyperlinks.json,https://archive.org/download/torrentfreak-2022/torrentfreak-2022-10-18T00:17:29.977993-07:00.accessibility.json,https://archive.org/download/torrentfreak-2022/torrentfreak-2022-10-18T00:17:29.977993-07:00.lighthouse.json,https://archive.org/download/torrentfreak-2022/torrentfreak-2022-10-18T00:17:29.977993-07:00.wayback.json
townhallcom,2022-10-18 20:00:24.823443+00:00,https://archive.org/download/townhallcom-2022/townhallcom-2022-10-18T16:00:24.823443-04:00.jpg,https://archive.org/download/townhallcom-2022/townhallcom-2022-10-18T16:00:24.823443-04:00.hyperlinks.json,https://archive.org/download/townhallcom-2022/townhallcom-2022-10-18T16:00:24.823443-04:00.accessibility.json,https://archive.org/download/townhallcom-2022/townhallcom-2022-10-18T16:00:24.823443-04:00.lighthouse.json,https://archive.org/download/townhallcom-2022/townhallcom-2022-10-18T16:00:24.823443-04:00.wayback.json
towntalkdotcom,2022-10-18 15:17:48.136002+00:00,https://archive.org/download/towntalkdotcom-2022/towntalkdotcom-2022-10-18T10:17:48.136002-05:00.jpg,https://archive.org/download/towntalkdotcom-2022/towntalkdotcom-2022-10-18T10:17:48.136002-05:00.hyperlinks.json,https://archive.org/download/towntalkdotcom-2022/towntalkdotcom-2022-10-18T10:17:48.136002-05:00.accessibility.json,https://archive.org/download/towntalkdotcom-2022/towntalkdotcom-2022-10-18T10:17:48.136002-05:00.lighthouse.json,https://archive.org/download/towntalkdotcom-2022/towntalkdotcom-2022-10-18T10:17:48.136002-05:00.wayback.json
tpm,2022-10-18 07:17:37.030646+00:00,https://archive.org/download/tpm-2022/tpm-2022-10-18T03:17:37.030646-04:00.jpg,https://archive.org/download/tpm-2022/tpm-2022-10-18T03:17:37.030646-04:00.hyperlinks.json,https://archive.org/download/tpm-2022/tpm-2022-10-18T03:17:37.030646-04:00.accessibility.json,https://archive.org/download/tpm-2022/tpm-2022-10-18T03:17:37.030646-04:00.lighthouse.json,https://archive.org/download/tpm-2022/tpm-2022-10-18T03:17:37.030646-04:00.wayback.json
tprnews,2022-10-18 15:17:22.151700+00:00,https://archive.org/download/tprnews-2022/tprnews-2022-10-18T10:17:22.151700-05:00.jpg,https://archive.org/download/tprnews-2022/tprnews-2022-10-18T10:17:22.151700-05:00.hyperlinks.json,https://archive.org/download/tprnews-2022/tprnews-2022-10-18T10:17:22.151700-05:00.accessibility.json,https://archive.org/download/tprnews-2022/tprnews-2022-10-18T10:17:22.151700-05:00.lighthouse.json,https://archive.org/download/tprnews-2022/tprnews-2022-10-18T10:17:22.151700-05:00.wayback.json
trohio,2022-10-18 15:17:43.313601+00:00,https://archive.org/download/trohio-2022/trohio-2022-10-18T11:17:43.313601-04:00.jpg,https://archive.org/download/trohio-2022/trohio-2022-10-18T11:17:43.313601-04:00.hyperlinks.json,https://archive.org/download/trohio-2022/trohio-2022-10-18T11:17:43.313601-04:00.accessibility.json,https://archive.org/download/trohio-2022/trohio-2022-10-18T11:17:43.313601-04:00.lighthouse.json,https://archive.org/download/trohio-2022/trohio-2022-10-18T11:17:43.313601-04:00.wayback.json
truthout,2022-10-18 19:57:28.788892+00:00,https://archive.org/download/truthout-2022/truthout-2022-10-18T12:57:28.788892-07:00.jpg,https://archive.org/download/truthout-2022/truthout-2022-10-18T12:57:28.788892-07:00.hyperlinks.json,https://archive.org/download/truthout-2022/truthout-2022-10-18T12:57:28.788892-07:00.accessibility.json,https://archive.org/download/truthout-2022/truthout-2022-10-18T12:57:28.788892-07:00.lighthouse.json,https://archive.org/download/truthout-2022/truthout-2022-10-18T12:57:28.788892-07:00.wayback.json
tucsonsentinel,2022-10-18 15:18:15.404496+00:00,https://archive.org/download/tucsonsentinel-2022/tucsonsentinel-2022-10-18T08:18:15.404496-07:00.jpg,https://archive.org/download/tucsonsentinel-2022/tucsonsentinel-2022-10-18T08:18:15.404496-07:00.hyperlinks.json,https://archive.org/download/tucsonsentinel-2022/tucsonsentinel-2022-10-18T08:18:15.404496-07:00.accessibility.json,https://archive.org/download/tucsonsentinel-2022/tucsonsentinel-2022-10-18T08:18:15.404496-07:00.lighthouse.json,https://archive.org/download/tucsonsentinel-2022/tucsonsentinel-2022-10-18T08:18:15.404496-07:00.wayback.json
