text,url,earliest_date,is_story,domain
USA endures scorching heat amid summer for record books...,https://www.accuweather.com/en/weather-news/americans-endure-scorching-heat-amid-a-summer-for-the-record-books/1228889,2022-08-11,True,accuweather.com
What will weather be like in metaverse?,https://www.accuweather.com/en/business/what-will-the-weather-be-like-in-the-metaverse/1162994,2022-08-03,True,accuweather.com
August to offer wide array of astronomy events...,https://www.accuweather.com/en/space-news/august-sky-features-saturn-mars-years-last-supermoon/1224442,2022-07-30,True,accuweather.com
Entire towns underwater in Kentucky following catastrophic flooding...,https://www.accuweather.com/en/severe-weather/catastrophic-flash-flooding-event-leaves-towns-underwater-in-kentucky/1223842,2022-07-28,True,accuweather.com
Northwest next in line...,https://www.accuweather.com/en/weather-forecasts/northwest-next-in-line-to-face-blistering-heat/1220304,2022-07-22,True,accuweather.com
115 TEX,https://www.accuweather.com/en/weather-news/unforgiving-heat-brings-highest-temps-of-the-year-to-south-central-us/1219719,2022-07-21,True,accuweather.com
HEAT IS ON: REAL FEEL TO TOP 100℉ FOR 160 MILLION!,https://www.accuweather.com/en/weather-forecasts/heat-wave-to-set-records-from-dc-to-philadelphia-nyc-on-east-coast/1219738,2022-07-21,True,accuweather.com
Hundreds of deaths in Spain...,https://www.accuweather.com/en/weather-forecasts/death-toll-from-brutal-heat-wave-tops-350-in-spain/1218084,2022-07-18,True,accuweather.com
Extreme heat knocks out power during Texas news station's weather forecast...,https://www.accuweather.com/en/weather-news/extreme-heat-knocks-out-power-during-one-texas-news-stations-weather-forecast/1217225,2022-07-15,True,accuweather.com
"Austin, San Antonio warmest summer in 10 years...",https://www.accuweather.com/en/weather-news/record-breaking-heat-scorches-texas-challenges-power-grid/1215997,2022-07-13,True,accuweather.com
Heatstroke Blamed for ex-NFL star's death...,https://www.accuweather.com/en/weather-news/former-nfl-star-marion-barber-iii-dies-of-heatstroke-police-say/1215944,2022-07-12,True,accuweather.com
Trop storm targets Carolinas...,https://www.accuweather.com/en/hurricane/tropical-storm-bonnie-makes-landfall-in-central-america/1211728,2022-07-02,True,accuweather.com
Fake cricket league dupes bettors with staged matches...,https://www.actionnetwork.com/news/fake-indian-premier-league-dupes-russian-bettors-staged-cricket-matches,2022-07-12,True,actionnetwork.com
UPDATE: IRS targeted Trump's political enemies with audits... Congress seeks probe...,https://www.adn.com/nation-world/2022/07/07/former-fbi-leaders-who-drew-trumps-ire-were-both-subject-to-unusual-irs-audits/,2022-07-08,True,adn.com
FLASHBACK: THE HIGHEST OFFICE; ADDERALL JUNKIE...,https://airmail.news/issues/2020-4-18/the-highest-office,2022-07-19,True,airmail.news
Judge forces Kemp to testify...,https://www.ajc.com/politics/judge-denies-kemps-motion-to-quash-grand-jury-testimony/FU7CGDIO7RDWPIADBIXNJN4ZSI/,2022-08-29,True,ajc.com
"GA grand jury seeks testimony from Meadows, lawyers...",https://www.ajc.com/politics/breaking-fulton-grand-jury-seeks-testimony-from-meadows-trump-campaign-lawyers/25L2AV3R3BDQVFW3N7HNB6SKVI/,2022-08-26,True,ajc.com
3 children diagnosed with monkeypox... Developing...,https://www.ajc.com/news/atlanta-news/one-georgia-child-diagnosed-with-monkeypox-another-suspected/3XQCYGRHONBTBN5PXC2HQ6HPFE/,2022-08-25,True,ajc.com
Children getting infected in GA...,https://www.ajc.com/news/atlanta-news/one-georgia-child-diagnosed-with-monkeypox-another-suspected/3XQCYGRHONBTBN5PXC2HQ6HPFE,2022-08-25,True,ajc.com
Georgia election data copied under direction of Trump attorney...,https://www.ajc.com/politics/georgia-election-data-copied-under-direction-of-trump-attorney/XCPM33PXC5ABJN6UXG645EXLM4/,2022-08-16,True,ajc.com
DATA: Monkeypox disproportionately affecting Black men...,https://www.ajc.com/news/atlanta-news/early-data-shows-monkeypox-disproportionately-affecting-black-men/D5C6I4VUSVBUZLMBFO75SETFGI/,2022-08-10,True,ajc.com
People seeking permanent sterilizations -- and some being turned away...,https://www.ajc.com/life/health/post-roe-people-are-seeking-permanent-sterilizations-and-some-are-being-turned-away/FSOGLJNOONDTXMOZVWY65JNWXM/,2022-07-27,True,ajc.com
Georgia outbreak...,https://www.ajc.com/news/atlanta-news/monkeypox-cases-in-georgia-increases-to-48/E77WIDYPKNGGHIUOISAIB6QNR4/,2022-07-14,True,ajc.com
"GA grand jury subpoenas Giuliani, Graham, Trump confidantes...",https://www.ajc.com/politics/fulton-grand-jury-subpoenas-giuliani-graham-trump-confidantes/POUNSTTUXZDGDB3D5LKA7TIQQM/,2022-07-06,True,ajc.com
Pregnant women held for months in one Alabama jail to protect fetuses...,https://www.al.com/news/2022/09/pregnant-women-held-for-months-in-one-alabama-jail-to-protect-fetuses-from-drugs.html,2022-09-07,True,al.com
