identifier,handle,file_name,url,mtime,size,md5,sha1
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-10T06:36:46.220100-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-10T06:36:46.220100-07:00.jpg,2022-04-10 13:36:48,380194,950a5ddac2883a91702674fab03a0e71,410378c061182239927e53b279291c0f5dda6246
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-11T06:39:50.941065-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-11T06:39:50.941065-07:00.jpg,2022-04-11 13:39:53,326608,8d22017dbdbcab1969a864c5745cd741,6c57d053ab85ae3a84ff8179762bb2749d2a1925
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-12T06:41:29.050934-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-12T06:41:29.050934-07:00.jpg,2022-04-12 13:41:37,334962,0de88c144b97743c38b249b1133ce0de,60d65f897eede87ab85bd301ed7e409ae92a2e41
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-13T06:39:19.098604-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-13T06:39:19.098604-07:00.jpg,2022-04-13 13:39:27,378547,840b49fa43e67db736f9d7fa52b190eb,ea536248cb3242c927e910f15361b5ec7254440e
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-14T06:40:56.429031-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-14T06:40:56.429031-07:00.jpg,2022-04-14 13:41:02,343545,815b441987fc635b3c3bb4d5673091bd,70d2053ac832d72b8de1e446318a91d6cec22a9a
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-15T06:38:27.743101-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-15T06:38:27.743101-07:00.jpg,2022-04-15 13:38:31,330341,7dc66a6b388fa41458197d0a676b7de2,8d6bb1942cbfc3589daf6438808d1f73273783bb
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-16T06:37:48.432400-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-16T06:37:48.432400-07:00.jpg,2022-04-16 13:38:03,379023,36efee27b1c393a2c7ab3d13d50a0aab,63a50c64982e8525b1c6db35ebc56517efc8f6e4
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-17T06:37:36.965287-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-17T06:37:36.965287-07:00.jpg,2022-04-17 13:37:46,355135,3da5f823a9b6bdf6bc09abe4f001bb2a,07590f14dbd020b930dab60fd5f57bb9515ce83f
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-18T06:40:29.660126-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-18T06:40:29.660126-07:00.jpg,2022-04-18 13:40:30,314141,e77c6c117ee5eedf0fde2eb533c5381b,2fb2be6a6dc517cfabfb07325806958488e43a7d
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-19T06:44:28.672096-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-19T06:44:28.672096-07:00.jpg,2022-04-19 13:44:30,353990,4f92460d09ab353b264b77b882e91eb1,f342ed0e56f4c9531eeea328143eb1f8674f1b59
