identifier,handle,file_name,url,mtime,size,md5,sha1
azcentral-2022,azcentral,azcentral-2022-08-04T23:58:49.749067-07:00.wayback.json,https://archive.org/download/azcentral-2022/azcentral-2022-08-04T23:58:49.749067-07:00.wayback.json,2022-08-05 06:58:57,233,9ad22a0fd4e4cc6229dd267561e66b89,cac680d9a50291507666037328913cdcd9b33eaf
baltimoresun-2022,baltimoresun,baltimoresun-2022-08-05T07:10:58.216939-04:00.wayback.json,https://archive.org/download/baltimoresun-2022/baltimoresun-2022-08-05T07:10:58.216939-04:00.wayback.json,2022-08-05 11:11:07,76938,63520bf5b7ec5147accd1252cca134c9,2054f126d5967b71bd8677785a9c943d8a26e93a
bbc-2022,bbc,bbc-2022-08-05T10:08:56.126354+01:00.wayback.json,https://archive.org/download/bbc-2022/bbc-2022-08-05T10:08:56.126354+01:00.wayback.json,2022-08-05 09:09:27,21565,3048a6f46e9ba13d51e048abe379d406,f8817eb5d05ae21b80854a5363dd6d77addc9914
dailymirror-2022,dailymirror,dailymirror-2022-08-05T10:08:47.307685+01:00.wayback.json,https://archive.org/download/dailymirror-2022/dailymirror-2022-08-05T10:08:47.307685+01:00.wayback.json,2022-08-05 09:08:55,46163,84efe852d7a5af53d46c1051b64ead69,e32d607c7dd440fccef3990093c346d7a2847bf8
franceinfo-2022,franceinfo,franceinfo-2022-08-05T10:11:50.011217+02:00.wayback.json,https://archive.org/download/franceinfo-2022/franceinfo-2022-08-05T10:11:50.011217+02:00.wayback.json,2022-08-05 08:11:57,35067,5df956d3f5b1a360832d784f01471aa2,c6127a88048e10eba732358a8e50f0433118963f
ft-2022,ft,ft-2022-08-05T10:08:58.765869+01:00.wayback.json,https://archive.org/download/ft-2022/ft-2022-08-05T10:08:58.765869+01:00.wayback.json,2022-08-05 09:09:31,118864,6838cb7ff6d6da578338ca8a79fc2676,73bf7923b53a42584046e9866b8f7a52024240d4
gazetaru-2022,gazetaru,gazetaru-2022-08-05T08:22:32.650633+03:00.wayback.json,https://archive.org/download/gazetaru-2022/gazetaru-2022-08-05T08:22:32.650633+03:00.wayback.json,2022-08-05 05:22:40,67930,19641c2492b7371efa0b8a5282ef8d4d,6ebda3727a2d8f8b90ac99e1aeb367a339cd8077
globeandmail-2022,globeandmail,globeandmail-2022-08-05T07:11:04.555721-04:00.wayback.json,https://archive.org/download/globeandmail-2022/globeandmail-2022-08-05T07:11:04.555721-04:00.wayback.json,2022-08-05 11:11:14,104568,c1eb0702ba32dd627ad163fae4cc29b6,424279ffa8b09f06da562a96a1d8e1302ecb071c
guardian-2022,guardian,guardian-2022-08-05T10:08:51.928457+01:00.wayback.json,https://archive.org/download/guardian-2022/guardian-2022-08-05T10:08:51.928457+01:00.wayback.json,2022-08-05 09:09:01,112723,69d40dffa5e6284714a8bf567f5bcfa8,ebbd015295f7b2ce202ce0985f093c1447fdfdaf
izvestia_ru-2022,izvestia_ru,izvestia_ru-2022-08-05T08:22:37.489084+03:00.wayback.json,https://archive.org/download/izvestia_ru-2022/izvestia_ru-2022-08-05T08:22:37.489084+03:00.wayback.json,2022-08-05 05:22:46,39041,f8d4d208c0a0cdd67a7567d621764647,596d5ba0e2024bc2c9f7241b7f290c4f415cf98d
